Site, Site name, Start, End, Lat, Lon
002070, PHILLIPS RANGE, 1994, 1995, -16.8828, 126.1267
002071, HALLS CREEK COMPARISON (OLD), 1996, 2001, -18.2303, 127.6625
002072, BEDFORD DOWNS AIRSTRIP, 2011, .., -17.2797, 127.4648
002073, MARGARET RIVER AIRSTRIP, 2006, .., -18.6217, 126.8831
002074, MOOLA BULLA AIRSTRIP, 2003, .., -18.1958, 127.4948
002075, BULKA, 1995, .., -19.0372, 126.0933
002076, MORNINGTON, 2004, .., -17.5115, 126.1095
002077, SIDDINS CREEK, 2009, .., -16.9203, 126.5511
002078, LARRAWA AIRFIELD, 2009, .., -18.8318, 126.5301
002081, HALLS CREEK AIRPORT (AUTO EVAP), 2024, .., -18.2337, 127.6666
003000, BEAGLE BAY, 1902, .., -16.9807, 122.6662
003001, COUNTRY DOWNS, 1969, .., -17.2767, 122.5711
003002, BROOME POST OFFICE, 1889, 1953, -17.9500, 122.2500
003003, BROOME AIRPORT, 1939, .., -17.9475, 122.2352
003004, CAPE LEVEQUE, 1917, .., -16.3961, 122.9278
003005, FAIRFIELD STATION, 1950, 2021, -17.5725, 125.0675
003006, FITZROY CROSSING COMP., 1893, 2000, -18.1919, 125.5644
003007, DERBY POST OFFICE, 1882, 1997, -17.3044, 123.6292
003008, ELLENDALE, 1919, .., -17.9281, 124.8108
003009, JUBILEE DOWNS, 1937, .., -18.3547, 125.3033
003010, KIMBERLEY DOWNS, 1885, .., -17.3927, 124.3574
003011, LEOPOLD DOWNS, 1899, 2021, -17.7535, 125.3807
003012, LIVERINGA UPPER, 1898, 2002, -18.0483, 124.1728
003013, LULUIGUI, 1920, 1983, -18.1450, 124.0275
003014, GOGO STATION, 1908, .., -18.2914, 125.5869
003015, MEDA, 1911, .., -17.3680, 123.9956
003016, MOUNT ANDERSON, 1899, 1986, -18.0358, 123.9286
003017, MOUNT HOUSE STATION, 1923, .., -17.0516, 125.7051
003018, MYROODAH, 1907, .., -18.1225, 124.2692
003019, NAPIER DOWNS, 1912, .., -17.3305, 124.8166
003020, NERRIMA, 1935, .., -18.4922, 124.3992
003021, NOONKANBAH, 1898, 1992, -18.4875, 124.8231
003022, QUANBUN DOWNS, 1898, .., -18.3817, 125.2267
003023, ROEBUCK PLAINS, 1902, .., -17.9315, 122.4722
003024, UDIALLA, 1930, .., -17.9464, 123.7383
003025, COCKATOO ISLAND, 1948, 2014, -16.0992, 123.6161
003026, YEEDA, 1890, .., -17.6153, 123.6483
003027, FOSSIL DOWNS, 1904, .., -18.1386, 125.7764
003028, ANNA PLAINS, 1908, .., -19.2536, 121.4861
003029, FRAZIER DOWNS, 1910, 1980, -18.7983, 121.7125
003030, BIDYADANGA, 1891, .., -18.6844, 121.7803
003031, LOMBADINA MISSION, 1946, 1993, -16.5167, 122.8908
003032, DERBY AERO, 1951, .., -17.3706, 123.6611
003033, BLINA, 1938, .., -17.7472, 124.5283
003034, ECO BEACH, 1998, 1999, -18.3381, 122.0758
003035, MUNJA, 1922, 1948, -16.4000, 124.9500
003036, BROOME QUARANTINE STATION, 1952, 1953, -18.0000, 122.2167
003037, MUNKAYARRA, 1958, 1958, -17.4333, 123.7500
003038, LIVERINGA 2, 1958, 1960, -17.9500, 124.1667
003039, SILENT GROVE, 1959, 1972, -16.9667, 125.3000
003040, CAMBALLIN, 1958, .., -17.9903, 124.1922
003041, KILTO STATION, 1962, .., -17.6924, 122.7127
003042, TALGARNO, 1959, 1963, -19.2833, 121.5000
003043, CHRISTMAS CREEK HOMESTEAD, 1960, .., -18.8772, 125.9207
003044, BROOKING SPRINGS, 1901, .., -18.1103, 125.6431
003045, CALANGADIE, 1921, 1939, -19.1000, 121.5000
003046, CHERRABUN, 1906, 1972, -18.4833, 125.3333
003047, DAMPIER DOWNS, 1929, 1940, -18.4000, 123.1000
003048, CHERRABUN, 1962, .., -18.9159, 125.5264
003049, ISADELL DOWNS, 1913, 1927, -16.9000, 125.7000
003050, LIVERINGA LOWER, 1887, 1896, -17.9500, 124.1667
003051, MOUNT BARNETT, 1983, .., -16.7372, 125.9086
003052, MOUNT HART STATION, 1925, .., -16.8214, 124.9151
003053, OBAGAMA, 1895, 1934, -16.7000, 123.9833
003054, POINT TORMENT, 1904, 1923, -17.1000, 123.7000
003055, ROLLAH, 1907, 1919, -18.7000, 121.7500
003056, THANGOO, 1892, .., -18.1792, 122.3583
003057, CYGNET BAY, 1963, .., -16.4513, 123.0087
003058, MILLAJIDDIE, 1964, 1969, -18.8333, 124.9500
003059, NITA DOWNS, 1964, .., -19.0861, 121.6764
003060, ARDJORIE, 1966, 1973, -18.7667, 123.6833
003061, KIMBOLTON RANGE STATION 1, 1966, 1978, -16.6950, 123.8625
003062, BEVERLEY SP, 1959, 1967, -16.5833, 125.4833
003063, CHARNLEY RIVER, 1968, .., -16.7164, 125.4600
003064, FITZROY A.I.M, 1970, 1974, -18.1667, 125.5833
003065, KALYEEDA, 1972, 1974, -18.5500, 124.7167
003066, PORT SMITH, 1973, .., -18.5175, 121.8072
003067, GLAROSA POULTRY LODGE, 1973, 1974, -17.3333, 123.6833
003068, DAMPIER DOWNS, 1973, .., -18.5077, 123.4561
003069, KOOLAN ISLAND, 1974, 1992, -16.1306, 123.7764
003070, OOBAGOOMA, 1974, 1974, -16.7667, 123.9833
003071, NOONKANBAH AIRSTRIP, 1944, 1945, -18.5000, 124.8333
003072, ONE ARM POINT, 1975, 1993, -16.4508, 123.0653
003073, KIMBOLTON, 1970, .., -16.6872, 123.8375
003074, YAKKAMUNGA, 1983, .., -17.9343, 123.4736
003075, DERBY MAIN ROADS, 1983, .., -17.3136, 123.6497
003076, WESTERN FIELD, 1983, 1985, -19.3283, 125.3886
003077, MOWLA BLUFF, 1985, 1995, -18.5914, 123.6133
003078, CADJEBUT, 1987, 2003, -18.7267, 125.9875
003079, SHELAMAR, 1989, .., -18.9897, 121.7208
003080, CURTIN AERO, 1989, .., -17.5768, 123.8297
003081, CURTIN, 1990, 1995, -17.5778, 123.8222
003082, KIRBY GARDENS, 1991, 2011, -17.8672, 122.3631
003083, BROOME BIRD OBSERVATORY, 1991, 1997, -17.9769, 122.3431
003084, DERBY (MANNING RD), 1992, .., -17.3436, 123.6781
003085, MOUNT JOWLAENGA, 1992, 2002, -17.4311, 123.0389
003086, WILLARE BRIDGE, 1992, .., -17.7278, 123.6547
003087, TANJUNGPANDAN, 1993, 2000, -17.5606, 122.1458
003088, LARRAWA, 1995, .., -18.8375, 126.5247
003089, BROOME COMPARISON, 1995, 2000, -17.9492, 122.2339
003090, DEBESA, 1995, .., -17.7981, 124.0772
003091, BEEFWOOD PARK, 1996, .., -18.9894, 125.8478
003092, SOUTH EAST WATERBANK, 1996, 1999, -17.8578, 122.2725
003093, FITZROY CROSSING AERO, 1997, .., -18.1814, 125.5619
003094, WINDJANA GORGE, 1997, .., -17.4211, 124.9246
003095, PILLARA SPRINGS, 1998, 2003, -18.3192, 125.7806
003097, BEVERLEY SPRINGS AIRSTRIP, 1999, 2002, -16.7300, 125.4386
003098, MOUNT HOUSE AIRSTRIP, 2002, .., -17.0535, 125.7120
003099, LEOPOLD DOWNS TBRG, 2011, .., -17.7535, 125.3807
003100, LIVERINGA STATION, 2001, .., -17.9503, 124.2653
003101, DAMPIER DOWNS AIRSTRIP, 2006, .., -18.5096, 123.4676
003102, BROOME WHARF NTC AWS, 1991, .., -18.0019, 122.2162
003103, MIDDLE LAGOON, 2004, .., -16.7742, 122.5762
003104, BIDAN, 2005, 2021, -17.6450, 123.1678
003105, LAUREL DOWNS, 2007, .., -18.1105, 125.3347
003106, ELLENDALE MINESITE, 2007, 2015, -17.5669, 124.8411
003107, SILVER GULL CREEK, 2014, 2015, -16.1903, 123.7025
003108, YAMPI SOUND (DEFENCE), 2018, .., -16.7671, 123.9810
003109, BROOME NTC AWS COMPARISON, 2011, 2023, -18.0008, 122.2183
003111, BROOME AIRPORT (AUTO EVAP), 2024, .., -17.9475, 122.2352
003112, BROOME WHARF NTC AWS, 2025, .., -18.0018, 122.2166
004000, ABYDOS, 1917, 1974, -21.4167, 118.9333
004001, WOODBROOK, 1897, 1974, -20.9000, 117.1167
004002, PORT HEDLAND POST OFFICE, 1897, 1948, -20.3139, 118.5742
004003, BALFOUR DOWNS, 1907, 1998, -22.8000, 120.8625
004004, BAMBOO CREEK, 1897, .., -20.9264, 120.2075
004005, BAMBOO SPRINGS, 1905, 1978, -22.0517, 119.6325
004006, BONNEY DOWNS, 1907, .., -22.1828, 119.9350
004007, BOODARIE, 1887, 1973, -20.4000, 118.4667
004008, CARLINDIE, 1907, .., -20.6392, 119.2431
004009, COONGAN STATION, 1904, 1974, -20.6833, 119.6667
004010, COOYA POOYA, 1900, 1974, -21.0333, 117.1333
004011, CORUNNA DOWNS, 1897, 1975, -21.4667, 119.8333
004012, DE GREY, 1888, .., -20.1756, 119.1908
004013, ETTRICK, 1901, 1964, -20.5167, 119.6667
004014, EGINBAH, 1930, 1974, -20.8500, 119.7667
004015, HILLSIDE STATION, 1917, 2020, -21.7219, 119.3989
004016, INDEE, 1909, .., -20.7867, 118.5972
004017, STATION PEAK, 1904, 1911, -21.1500, 118.1000
004018, LIMESTONE, 1925, 1967, -21.1833, 119.8167
004019, MANDORA, 1913, .., -19.7419, 120.8433
004020, MARBLE BAR COMPARISON, 1895, 2006, -21.1756, 119.7497
004021, MOUNT EDGAR, 1901, 1999, -21.3122, 120.0586
004022, MUCCAN, 1898, .., -20.6334, 120.0863
004023, MULYIE, 1888, .., -20.4619, 119.5189
004024, MUNDABULLANGANA, 1899, .., -20.5192, 118.0603
004025, NIMINGARRA, 1909, 1966, -20.5000, 119.8000
004026, NOREENA DOWNS, 1911, .., -22.2914, 120.1761
004027, NULLAGINE, 1897, 2004, -21.8861, 120.1103
004028, PARDOO STATION, 1904, .., -20.1078, 119.5811
004029, COORAGOORA, 1954, .., -19.9604, 120.2744
004030, PILGA, 1915, 1961, -21.4000, 119.4000
004031, POINT SAMSON, 1949, 1984, -20.6267, 117.1925
004032, PORT HEDLAND AIRPORT, 1942, .., -20.3725, 118.6317
004033, PYRAMID STATION, 1951, .., -21.0561, 117.4436
004034, RPF 734 MILE, 1913, 1947, -22.0167, 121.4000
004035, ROEBOURNE, 1887, 2021, -20.7767, 117.1456
004036, STRELLEY, 1906, .., -20.4681, 119.0556
004037, TALGA TALGA, 1897, 1970, -21.0500, 120.0000
004038, WALLAREENYA, 1908, .., -20.7483, 118.8172
004039, WARAMBIE, 1937, .., -20.9484, 117.3732
004040, WARRALONG, 1899, 1984, -20.6472, 119.5869
004041, WARRAWAGINE, 1897, .., -20.8508, 120.6961
004042, WHIM CREEK, 1897, 2024, -20.8414, 117.8353
004043, REDMONT, 1925, 2012, -21.9931, 119.0131
004044, WIDJUP OUTCAMP, 1921, 1948, -19.5000, 121.3000
004045, ABYDOS WOODSTOCK, 1901, 1997, -21.6200, 118.9550
004046, YARRIE, 1898, .., -20.6739, 120.2044
004047, TABBA TABBA, 1924, 1976, -20.8333, 118.9000
004048, YANDEEARRA, 1902, 1999, -21.2853, 118.4042
004049, SPLIT ROCK, 1927, 1949, -21.6000, 119.6000
004050, YALGOORA, 1937, 1949, -21.6000, 119.7000
004051, BALLA BALLA, 1898, 1927, -20.6000, 117.8000
004052, RPF 80 MILE, 1909, 1943, -20.5667, 120.6500
004053, CONDON, 1889, 1927, -20.0000, 119.4000
004054, COSSACK, 1881, 2020, -20.6783, 117.1892
004055, CROYDON, 1900, 1946, -21.1000, 117.8000
004056, KANGAN, 1935, 1945, -21.1000, 118.5167
004057, LALLA ROOKH, 1917, 1973, -20.8833, 119.1500
004058, LOCHNAVAR, 1912, 1919, -20.7000, 121.0167
004059, MALLINA, 1900, .., -20.8822, 118.0308
004060, MIDDLE CREEK, 1904, 1915, -21.8000, 120.3000
004061, MOUNT SATIRIST, 1912, 1947, -21.1000, 117.9833
004062, MYADEE, 1913, 1942, -20.1000, 119.7500
004063, POONDAWINDIE, 1930, 1938, -22.2000, 120.2000
004064, POONDINIA, 1913, 1936, -20.4500, 118.8000
004065, RPF 672 MILE, 1913, 1947, -22.7000, 121.1000
004066, RPF 798 MILE, 1913, 1942, -21.2000, 121.2000
004067, SHAW RIVER, 1917, 1942, -20.5500, 119.3000
004068, WALLAL DOWNS, 1897, .., -19.7789, 120.6417
004069, WARRAWOONA, 1899, 1914, -21.3000, 119.8000
004070, COONGAN HOTEL, 1895, 1931, -20.9000, 119.7000
004071, PYRAMID 1, 1885, 1894, -21.0500, 117.4500
004072, ROSEMARY ISLAND, 1963, 1964, -20.4833, 116.5333
004073, NICOL PADDOCK, 1967, 1968, -20.9000, 116.9167
004074, GOLDSWORTHY, 1966, 1992, -20.3422, 119.5206
004075, HARDING RIVER 1, 1967, 1989, -21.1389, 117.0850
004076, HARDING RIVER 2, 1967, 1989, -21.1750, 117.2208
004077, BARRAMINE, 1914, 1918, -20.7167, 120.8500
004078, COONGAN 2, 1973, 1973, -20.7000, 119.3500
004079, YANDEE, 1971, 1982, -21.3625, 118.8783
004080, CALLAWA, 1904, 1980, -20.6350, 120.5000
004081, CORUNNA DOWNS AIRSTRIP, 1943, 1945, -21.4333, 119.7833
004082, CAPE LAMBERT, 1971, 2004, -20.6150, 117.1633
004083, KARRATHA AERO, 1971, .., -20.7097, 116.7742
004084, SHAY GAP, 1972, 1993, -20.4958, 120.1672
004085, TAMBOURAH, 1898, 1901, -21.7500, 119.1833
004086, SHERLOCK, 1956, .., -20.8956, 117.6447
004087, HARDING RIVER 3, 1967, 1989, -21.2333, 117.0500
004088, NORTH POLE, 1977, 1984, -21.1467, 119.4333
004089, WICKHAM, 1981, 2010, -20.6744, 117.1428
004090, ROEBOURNE AERO, 2001, .., -20.7594, 117.1583
004091, KING BAY SUPPLY BASE, 1988, 1997, -20.5978, 116.7764
004092, HARDING DAM, 1983, 2005, -20.9786, 117.0953
004093, STRELLEY PUMPING STATION, 1983, 2001, -20.3292, 119.1878
004094, NIMINGARRA MINE, 1989, 1994, -20.4119, 120.0103
004095, LEGENDRE ISLAND, 1992, .., -20.3583, 116.8431
004096, MOUNT DIVIDE, 1988, 1998, -22.4272, 120.8578
004097, DAMPIER PORT, 1991, 2001, -20.6175, 116.7517
004098, DE GREY BOREFIELD, 1990, 2001, -20.2906, 119.2800
004099, KARRATHA TOWN, 1992, 1994, -20.7381, 116.8489
004100, BEDOUT ISLAND, 1993, .., -19.5894, 119.1000
004101, R 1 BOREHOLE, 1972, 1983, -20.3167, 119.3333
004102, MEENTHEENA, 1993, 2025, -21.2669, 120.4544
004103, NIFTY COPPER MINE, 1997, 2024, -21.6525, 121.5592
004104, PORT HEDLAND MILOS AWS COMPARISON, 1998, 2001, -20.3736, 118.6297
004105, NULLAGINE NORTH, 1999, 2000, -21.8603, 120.1592
004106, MARBLE BAR, 2000, .., -21.1756, 119.7497
004109, PORT HEDLAND AIRPORT (AUTO EVAP), 2024, .., -20.3725, 118.6317
005000, BOOLALOO, 1911, 1951, -22.5833, 115.8500
005001, COOLAWANYAH, 1923, .., -21.8047, 117.8056
005002, DUCK CREEK, 1946, 1998, -22.5150, 116.5825
005003, ETHEL CREEK, 1907, .., -22.8972, 120.1733
005004, EXMOUTH GULF, 1915, 2024, -22.3761, 114.1105
005005, HAMERSLEY, 1912, .., -22.2794, 117.6775
005006, KOOLINE, 1896, .., -22.9119, 116.2903
005007, LEARMONTH AIRPORT, 1945, .., -22.2406, 114.0967
005008, MARDIE, 1885, .., -21.1906, 115.9797
005009, MARILLANA, 1936, .., -22.6331, 119.4081
005010, MARRILLA, 1927, 2001, -22.9742, 114.4597
005011, MEILGA, 1914, 1958, -22.7000, 115.8000
005012, MILLSTREAM, 1897, .., -21.5906, 117.0656
005013, MINDEROO, 1912, .., -21.9969, 115.0463
005014, MOUNT FLORANCE, 1886, .., -21.7869, 117.8647
005015, MULGA DOWNS, 1897, 2019, -22.1039, 118.4703
005016, ONSLOW, 1886, 2012, -21.6364, 115.1117
005017, ONSLOW AIRPORT, 1940, .., -21.6689, 115.1092
005018, PEEDAMULLAH, 1895, 1973, -21.8500, 115.6167
005019, WARRAMBOO, 1961, 1963, -21.6333, 115.8500
005020, NINGALOO, 1898, 2018, -22.6975, 113.6744
005021, RANGE, 1927, 1968, -22.2667, 115.4167
005022, RED HILL, 1898, .., -21.9750, 116.0653
005023, ROY HILL, 1900, .., -22.6217, 119.9564
005024, VLAMINGH HEAD, 1913, 1997, -21.8067, 114.1072
005025, WARRIE, 1927, 1964, -22.4000, 119.5333
005026, WITTENOOM, 1949, 2019, -22.2425, 118.3358
005027, WITTENOOM GORGE, 1949, 1950, -22.3167, 118.3167
005028, WYLOO, 1903, .., -22.6906, 116.2328
005029, YALLEEN, 1930, .., -21.6767, 116.3928
005030, YANREY, 1897, .., -22.5064, 114.7944
005031, YARDIE CREEK, 1915, 1982, -21.8875, 114.0092
005032, YARRALOOLA HOMESTEAD, 1898, .., -21.5703, 115.8786
005033, KOORDARRIE, 1915, .., -22.3419, 114.9319
005034, MOUNT STUART, 1899, .., -22.4558, 116.0508
005035, TAMBREY, 1896, 1949, -21.6000, 117.6000
005036, GLEN FLORRIE STATION, 1921, .., -22.9367, 115.9825
005037, KANGIANGI, 1954, 1972, -21.7000, 117.4500
005038, CHINGINARRA, 1890, 1909, -21.3667, 115.8500
005039, LEARMONTH ARTESIAN, 1916, 1922, -22.6000, 114.4000
005040, BALMORAL, 1912, .., -21.1594, 116.1197
005041, COORARA STATION, 1907, 1948, -22.6000, 116.1000
005042, DEEPDALE 1, 1911, 1929, -21.7000, 116.1000
005043, DIOMENOR, 1933, 1942, -21.9000, 115.2000
005044, FORTESCUE, 1887, 1927, -21.0583, 116.1111
005045, GIRALIA, 1913, .., -22.6850, 114.3673
005046, HARDY JUNCTION, 1888, 1936, -22.7000, 116.1000
005047, KERDIADARY, 1901, 1910, -22.2500, 119.1000
005048, NANUTARRA, 1898, 1997, -22.5403, 115.4981
005049, TABLELAND, 1907, 1915, -21.6000, 117.6000
005050, MOUNT ENID, 1917, 1931, -21.6000, 116.4000
005051, EXMOUTH TOWN, 1964, .., -21.9303, 114.1260
005052, KARRATHA STATION, 1900, .., -20.8831, 116.6725
005053, EAST INTERCOURSE ISLAND, 1966, 1997, -20.6553, 116.6789
005054, DEVILS BROOK, 1966, 1968, -20.8667, 116.4500
005055, WITTENOOM AERO, 1964, 2010, -22.2275, 118.3450
005056, BLACK HILLS, 1967, 1976, -21.2333, 117.0500
005057, HARDING RIVER, 1967, 1989, -21.3417, 117.0833
005058, BARROW ISLAND, 1967, 2000, -20.8206, 115.3931
005059, MOUNT LIONEL AIRSTRIP, 1967, .., -22.6087, 117.6313
005060, NAVY CHARLIE, 1968, 1971, -22.3333, 114.0500
005061, DAMPIER SALT, 1969, .., -20.7278, 116.7483
005062, JAMINU OUTCAMP, 1924, 1930, -22.3167, 115.1833
005063, MOUNT BROCKMAN, 1969, 1976, -22.3000, 117.2833
005064, SAND HILL, 1971, 1984, -22.7825, 119.6172
005065, MONTE BELLO ISLANDS, 1956, 1956, -20.4167, 115.5500
005066, UAROO, 1916, .., -22.7814, 115.3722
005067, CANE RIVER, 1966, 1997, -22.0894, 115.6239
005068, BULLARA, 1957, .., -22.6811, 114.0394
005069, PANNAWONICA, 1971, .., -21.6392, 116.3308
005070, ROBE, 1972, .., -21.3567, 115.8208
005071, PINDRAL OUTCAMP, 1972, .., -21.3444, 115.9356
005072, TOM PRICE, 1972, 2011, -22.6967, 117.7703
005073, HOOLEY, 1972, .., -21.8836, 118.2217
005074, MARANDOO, 1974, 1997, -22.6344, 118.1119
005075, NAVY ALPHA, 1974, 1976, -21.8222, 114.1714
005076, TOM PRICE AERO, 1976, 1996, -22.7450, 117.6656
005077, EXMOUTH EMERGENCY SERVICE, 1976, 1980, -21.9325, 114.1111
005078, URALA, 1977, .., -21.7666, 114.8211
005079, THEVENARD ISLAND, 1978, 1997, -21.4625, 115.0194
005080, CAPE RANGE, 1978, .., -22.1033, 113.9997
005081, DAMPIER RADAR, 1986, .., -20.6544, 116.6822
005082, ERAMURRA POOL, 1987, .., -21.0544, 116.2575
005083, KARRATHA WATER RESOURCES, 1974, 1996, -20.7692, 116.8603
005085, ROCKLEA, 1990, .., -22.8853, 117.4464
005086, FORTESCUE ROAD HOUSE, 1992, 2008, -21.2947, 116.1383
005087, MILLSTREAM CWS PUMPING STATION, 1972, 1985, -21.5833, 117.0500
005088, MULYERING, 1992, .., -21.2475, 116.0733
005089, PACKSADDLE CAMP, 1989, 2002, -22.9003, 118.7031
005090, MOUNT MINNIE, 1997, .., -21.9711, 115.4324
005091, DAMPIER  H.I., 1997, 1998, -20.6561, 116.7233
